tourney_id,tourney_name,surface,draw_size,winner_ht,winner_age,winner_rank,winner_rank_points,winner_ioc
2008-337,Vienna,Hard,32,185.0,24.536618754299997,125.0,383.0,GER
2008-337,Vienna,Hard,32,190.0,29.2511978097,129.0,374.0,CZE
2008-337,Vienna,Hard,32,190.0,32.1095140315,48.0,785.0,ESP
2008-337,Vienna,Hard,32,183.0,22.4558521561,54.0,696.0,ARG
2008-337,Vienna,Hard,32,183.0,28.648870636599998,44.0,815.0,ESP
2008-337,Vienna,Hard,32,183.0,27.375770020500003,38.0,879.0,AUT
2008-337,Vienna,Hard,32,188.0,27.0444900753,45.0,815.0,ESP
2008-337,Vienna,Hard,32,188.0,20.8596851472,143.0,321.0,COL
2008-337,Vienna,Hard,32,188.0,24.892539356599997,13.0,1440.0,ESP
2008-337,Vienna,Hard,32,185.0,30.8637919233,61.0,670.0,ARG
2008-337,Vienna,Hard,32,178.0,24.9746748802,32.0,1015.0,GER
2008-337,Vienna,Hard,32,198.0,20.0355920602,9.0,1685.0,ARG
2008-337,Vienna,Hard,32,193.0,22.0971937029,28.0,1108.0,FRA
2008-337,Vienna,Hard,32,185.0,29.8590006845,29.0,1100.0,CZE
2008-337,Vienna,Hard,32,190.0,20.1013004791,56.0,694.0,LAT
2008-337,Vienna,Hard,32,183.0,28.188911704299997,12.0,1645.0,CHI
2008-337,Vienna,Hard,32,185.0,24.536618754299997,125.0,383.0,GER
2008-337,Vienna,Hard,32,190.0,32.1095140315,48.0,785.0,ESP
2008-337,Vienna,Hard,32,183.0,27.375770020500003,38.0,879.0,AUT
2008-337,Vienna,Hard,32,188.0,27.0444900753,45.0,815.0,ESP
2008-337,Vienna,Hard,32,188.0,24.892539356599997,13.0,1440.0,ESP
2008-337,Vienna,Hard,32,178.0,24.9746748802,32.0,1015.0,GER
2008-337,Vienna,Hard,32,193.0,22.0971937029,28.0,1108.0,FRA
2008-337,Vienna,Hard,32,183.0,28.188911704299997,12.0,1645.0,CHI
2008-337,Vienna,Hard,32,185.0,24.536618754299997,125.0,383.0,GER
2008-337,Vienna,Hard,32,188.0,27.0444900753,45.0,815.0,ESP
2008-337,Vienna,Hard,32,178.0,24.9746748802,32.0,1015.0,GER
2008-337,Vienna,Hard,32,193.0,22.0971937029,28.0,1108.0,FRA
2008-337,Vienna,Hard,32,185.0,24.536618754299997,125.0,383.0,GER
2008-337,Vienna,Hard,32,193.0,22.0971937029,28.0,1108.0,FRA
2008-337,Vienna,Hard,32,185.0,24.536618754299997,125.0,383.0,GER
2008-339,Adelaide,Hard,32,180.0,26.847364818600003,21.0,1365.0,AUS
2008-339,Adelaide,Hard,32,190.0,25.196440794,65.0,566.0,ARG
2008-339,Adelaide,Hard,32,190.0,19.3347022587,61.0,585.0,LAT
2008-339,Adelaide,Hard,32,188.0,22.7049965777,43.0,714.0,FRA
2008-339,Adelaide,Hard,32,185.0,26.439425051300002,27.0,995.0,FIN
2008-339,Adelaide,Hard,32,185.0,23.2607802875,72.0,521.0,CAN
2008-339,Adelaide,Hard,32,190.0,20.3586584531,88.0,468.0,GER
2008-339,Adelaide,Hard,32,183.0,33.451060917199996,77.0,515.0,USA
2008-339,Adelaide,Hard,32,173.0,29.6673511294,82.0,481.0,USA
2008-339,Adelaide,Hard,32,178.0,26.5407255305,84.0,476.0,GER
2008-339,Adelaide,Hard,32,185.0,19.8767967146,80.0,487.0,KAZ
2008-339,Adelaide,Hard,32,190.0,27.6194387406,93.0,460.0,FRA
2008-339,Adelaide,Hard,32,175.0,32.9527720739,195.0,218.0,AUS
2008-339,Adelaide,Hard,32,198.0,20.2327173169,63.0,573.0,USA
2008-339,Adelaide,Hard,32,201.0,22.4202600958,91.0,462.0,AUS
2008-339,Adelaide,Hard,32,185.0,25.9657768652,25.0,1320.0,FRA
2008-339,Adelaide,Hard,32,180.0,26.847364818600003,21.0,1365.0,AUS
2008-339,Adelaide,Hard,32,188.0,22.7049965777,43.0,714.0,FRA
2008-339,Adelaide,Hard,32,185.0,26.439425051300002,27.0,995.0,FIN
2008-339,Adelaide,Hard,32,183.0,33.451060917199996,77.0,515.0,USA
2008-339,Adelaide,Hard,32,178.0,26.5407255305,84.0,476.0,GER
2008-339,Adelaide,Hard,32,190.0,27.6194387406,93.0,460.0,FRA
2008-339,Adelaide,Hard,32,175.0,32.9527720739,195.0,218.0,AUS
2008-339,Adelaide,Hard,32,185.0,25.9657768652,25.0,1320.0,FRA
2008-339,Adelaide,Hard,32,188.0,22.7049965777,43.0,714.0,FRA
2008-339,Adelaide,Hard,32,185.0,26.439425051300002,27.0,995.0,FIN
2008-339,Adelaide,Hard,32,190.0,27.6194387406,93.0,460.0,FRA
2008-339,Adelaide,Hard,32,175.0,32.9527720739,195.0,218.0,AUS
2008-339,Adelaide,Hard,32,185.0,26.439425051300002,27.0,995.0,FIN
2008-339,Adelaide,Hard,32,190.0,27.6194387406,93.0,460.0,FRA
2008-339,Adelaide,Hard,32,190.0,27.6194387406,93.0,460.0,FRA
2008-440,s-Hertogenbosch,Grass,32,175.0,26.206707734400002,5.0,2905.0,ESP
2008-440,s-Hertogenbosch,Grass,32,193.0,28.7775496235,472.0,57.0,ITA
2008-440,s-Hertogenbosch,Grass,32,178.0,24.2600958248,52.0,732.0,BEL
2008-440,s-Hertogenbosch,Grass,32,196.0,24.213552361399998,43.0,825.0,CRO
2008-440,s-Hertogenbosch,Grass,32,173.0,30.496919917899998,117.0,397.0,FRA
2008-440,s-Hertogenbosch,Grass,32,190.0,22.1793292266,51.0,733.0,ESP
